,t0,m0,mw,x,y,z,area,dt,te
95496,2.09641E+12,1.35E+21,8.019956,2470268,6587300.667,-37438.96333,8535356247,26.68432617,2.96855E+13
95557,2.09834E+12,9.92E+21,8.597657,2654277.667,7077464.667,-31419.26333,39401340985,45.89868164,4.35531E+14
95704,2.10181E+12,2.06E+22,8.809826,2178986,5983836,-33189.89,67108082349,74.45288086,7.14496E+14
95731,2.10233E+12,1.89E+22,8.783742,2590634.667,6848238,-32818.58,79004704241,101.1240234,5.79178E+14
95751,2.10286E+12,5.65E+21,8.434925,1936944.667,5637762.667,-22476.85333,25747975552,35.09472656,1.73773E+14
95786,2.10388E+12,4.51E+21,8.369523,2655722.333,7140417.333,-39035.53333,24441785629,77.63134766,2.2357E+14
95867,2.10651E+12,5.54E+21,8.429092,2627797.333,7087385,-46523.06333,24558537591,45.92431641,1.83816E+14
95918,2.10744E+12,1.59E+22,8.734146,1731552,5402446.333,-24122.01,54736207439,62.41210938,4.72687E+14
96039,2.10975E+12,1.62E+22,8.740006,2391686,6437441,-38081.33667,66020277469,86.90234375,4.99386E+14
96068,2.1108E+12,1.20E+22,8.651701,2599676,6947489,-46603.25667,44592989372,52.16259766,4.47529E+14
96117,2.11266E+12,1.03E+22,8.607652,2705620.333,7176059,-27958.61667,37618159865,50.88061523,6.39502E+14
96119,2.11296E+12,2.27E+21,8.170233,2343552.667,6328515,-38676.01333,12234951043,39.25366211,5.22169E+13
96296,2.11747E+12,1.64E+22,8.743698,2625355,7031419.333,-42559.58667,70172667531,94.83984375,5.72494E+14
96297,2.11747E+12,2.03E+21,8.137862,2533778.333,6646934.667,-21510.94,14119312859,28.80859375,4.16411E+13
96513,2.12242E+12,1.31E+22,8.678193,2642799.667,7100405.667,-39532.92,43028590627,64.94213867,8.57733E+14
96533,2.12272E+12,1.50E+22,8.716568,2466187,6589462.667,-40866.97667,61514703505,70.53442383,5.10403E+14
96606,2.12499E+12,2.06E+21,8.142865,1775225.667,5391019.333,-16721.77,11064863481,25.46240234,7.67228E+13
96616,2.12508E+12,8.68E+21,8.559011,2650328,6970261,-22718.99667,36861524758,61.44921875,2.98435E+14
96716,2.12771E+12,4.29E+21,8.35527,2520693.333,6707728.667,-41441.22667,23858141037,52.58349609,1.56474E+14
96956,2.13157E+12,1.71E+22,8.755961,2313970,6225790,-28167.3,62737258036,81.94140625,5.88688E+14
97032,2.13238E+12,6.25E+21,8.463762,2475465,6613168.667,-42512.99667,30406991399,51.78881836,1.65733E+14
97065,2.13274E+12,2.50E+22,8.865185,2697846,7244385.333,-42016.39,83539159147,96.19213867,1.21E+15
97113,2.135E+12,1.17E+22,8.645074,1892914.333,5516568,-14660.09,45156436239,77.2109375,3.52122E+14
97198,2.13761E+12,8.54E+21,8.554144,2545411.667,6747140.667,-37201.41333,36680085266,42.83813477,3.04182E+14
97349,2.14081E+12,1.29E+22,8.674428,2414364.333,6475741.667,-35883.30333,48321518229,51.37084961,4.54786E+14
97374,2.14152E+12,2.17E+22,8.824405,2658412.333,7154872,-40615.98333,72784670144,77.21386719,1.05E+15
97716,2.14908E+12,3.11E+22,8.928114,2564453,6820391.667,-42052.81667,1.0781E+11,131.3256836,1.17E+15
97835,2.15285E+12,2.27E+22,8.837597,1735272,5421202,-26539.77,75355023864,118.4606934,6.98901E+14
97931,2.15418E+12,6.53E+21,8.476475,2429109.333,6524525.333,-42567.41,28333003614,42.24414063,2.17137E+14
97968,2.1547E+12,4.81E+21,8.388,2680590.667,7192488,-39932.38667,23912311594,43.56835938,2.78497E+14
98200,2.15771E+12,1.72E+22,8.757223,2630833,7061144.667,-42217.85667,62694809314,78.8046875,6.63793E+14
98206,2.15771E+12,3.60E+21,8.304278,2532654.667,6741557.667,-43374.12,19545070637,47.69287109,9.48799E+13
98261,2.15905E+12,3.72E+21,8.313554,2461047.333,6569579,-37529.17667,17931380957,35.7956543,9.28376E+13
98457,2.16277E+12,5.51E+21,8.427338,2658412.333,7154872,-40615.98333,24443613198,41.06494141,3.06891E+14
98600,2.16477E+12,1.61E+21,8.072096,2446365,6526662.333,-32873.30667,11347510710,36.47265625,3.27523E+13
98669,2.1655E+12,2.49E+22,8.863743,2639538.667,7111079.667,-42439.09667,89376793055,111.1164551,8.89854E+14
98681,2.1658E+12,3.16E+22,8.933563,2343300,6339621,-41765.91,1.036E+11,119.0673828,1.10E+15
98891,2.17168E+12,8.89E+21,8.56588,1841654.667,5409945.667,-13101.75,35686514313,52.17089844,2.77094E+14
98922,2.17225E+12,1.99E+22,8.799039,2666023.333,7172167,-41114.41667,74493016127,107.1899414,1.02E+15
99078,2.17533E+12,1.46E+22,8.710127,2473730,6512018.333,-18931.66667,54948891634,64.95947266,4.72711E+14
99214,2.17955E+12,1.87E+21,8.115274,2612796,6779409.333,-15997.66,11015935264,42.74658203,5.45398E+13
99262,2.18013E+12,1.75E+22,8.76155,2642799.667,7100405.667,-39532.92,60858451234,60.35839844,8.17224E+14
99463,2.18388E+12,1.50E+22,8.716843,2557656.667,6801272,-41947.84333,60860377107,87.62792969,4.83017E+14
99654,2.18735E+12,6.89E+21,8.49196,2414464,6392328.333,-19622.62,28658039269,41.74023438,2.27665E+14
99689,2.18782E+12,1.27E+21,8.002541,2028594.667,5729196.667,-19008.89333,7795699834,29.44775391,3.27468E+13
99690,2.18782E+12,9.45E+21,8.583554,2101731,5762711,-11338.64,37960090677,51.9777832,2.48296E+14
99736,2.18856E+12,2.00E+22,8.800977,2636168.667,7106662,-43763.19,67704954991,58.78759766,1.02E+15
99838,2.19068E+12,2.72E+21,8.223111,1745169,5420703,-24493.90333,13511554232,30.61645508,8.17459E+13
99973,2.19316E+12,1.67E+22,8.74796,2475465,6613168.667,-42512.99667,63427689726,76.50488281,5.55945E+14
100011,2.19432E+12,8.84E+21,8.564216,1842145.333,5509035.333,-20977.76333,30183990955,25.99926758,2.12971E+14
100013,2.19432E+12,3.87E+21,8.324864,1903608.333,5572221.333,-18258.21667,18855996293,27.34082031,8.41077E+13
100142,2.19645E+12,1.70E+22,8.754454,2633553,7034900,-38091.07667,62152086756,73.77905273,7.70655E+14
100194,2.1979E+12,1.95E+22,8.793356,2335109.333,6304804,-37158.53333,70542074436,96.23852539,6.82094E+14
100267,2.2E+12,4.36E+21,8.359808,2410379.667,6483568.333,-40627.69333,21562462689,39.20019531,1.29248E+14
100331,2.20152E+12,1.59E+22,8.734343,2545411.667,6747140.667,-37201.41333,60296687798,67.39746094,5.33203E+14
100426,2.20411E+12,1.62E+22,8.73994,2637977.333,7116215,-44004.78,59433231683,65.74951172,7.84172E+14
100430,2.20443E+12,3.88E+21,8.325617,1771985.333,5417223.333,-20186.53667,17135417622,27.17724609,1.01699E+14
100696,2.21053E+12,2.73E+22,8.890461,2529316.333,6714807,-38422.01,1.04004E+11,110.1811523,8.99051E+14
100807,2.21444E+12,1.12E+22,8.631834,2643853.333,7129146.667,-42898.84667,37229497607,41.80957031,8.22135E+14
100950,2.21675E+12,5.71E+21,8.437715,1874598,5499409.333,-15398.51667,22775599461,34.84179688,1.74732E+14
101104,2.21866E+12,2.17E+22,8.824714,2567686.333,6829869.667,-42031.83667,82421602423,87.14404297,7.19779E+14
101157,2.2202E+12,1.21E+22,8.655357,2397163.333,6473592.333,-45710.84,44557568628,58.70166016,4.5085E+14
101282,2.2235E+12,1.07E+22,8.618553,2677811.667,7111438,-24132.88333,41528800419,51.25488281,5.9157E+14
101440,2.22656E+12,3.86E+21,8.324308,2008478.667,5727030.333,-22754.73667,16713224214,36.74316406,1.46977E+14
101456,2.22664E+12,1.58E+21,8.065153,1617605,5324382.333,-34691.51333,11428255843,21.14941406,2.71747E+13
101463,2.22666E+12,3.74E+21,8.315019,1752052.333,5382065.333,-17606.48333,18381805710,37.25830078,1.17771E+14
101482,2.22679E+12,2.19E+22,8.826496,2612285.667,6976877.667,-43340.55333,82899515978,119.9770508,7.34915E+14
101611,2.23104E+12,2.22E+22,8.830616,2278273.333,6204472,-41014.18333,71615574658,81.12451172,8.27899E+14
101675,2.23222E+12,1.59E+22,8.734618,2641040.667,7090219.667,-39431.16667,56789046599,67.02587891,8.56607E+14
101758,2.23429E+12,6.27E+21,8.464971,2374856.333,6429392,-46515.93667,30187702279,67.45654297,1.9002E+14
101791,2.23494E+12,1.46E+22,8.709296,2567686.333,6829869.667,-42031.83667,57675111377,80.90966797,4.94137E+14
101874,2.23808E+12,1.81E+22,8.772361,1883971.667,5503369.333,-14787.52333,55199441221,45.74707031,5.46341E+14
101907,2.23871E+12,4.01E+21,8.335441,2605180.667,6939791.667,-41491.39333,21657074075,56.375,1.18486E+14
